satker,nama,alamat,prov,ruang,kelas,total_kamar,terisi_lk,terisi_pr,total_terisi,kosong_lk,kosong_pr,total_kosong,waiting_list,last_update,lat,lng
3173014,RSUPN Dr. Cipto Mangunkusumo,    Jl. Diponegoro 71 Jakarta Pusat,DKI JAKARTA,Isolasi Radioaktif,Kelas 3,13,0,3,3,-,-,10,N/A,08/Mar/2019 10:17:50,-6.196661,106.84515400000001
3172013,RSUP Persahabatan,"    Jl. Persahabatan Raya No. 1,Jaktim",DKI JAKARTA,Isolasi Air Borne,Isolasi,6,8,0,8,-,-,-2,N/A,28/Mar/2020 11:25:13,-6.204058,106.884773
3172013,RSUP Persahabatan,"    Jl. Persahabatan Raya No. 1,Jaktim",DKI JAKARTA,Isolasi TB MDR,Rawat Khusus,12,0,7,7,-,-,5,N/A,28/Mar/2020 11:25:13,-6.204058,106.884773
3171012,RSUP Fatmawati," Jl. RS Fatmawati Cilandak,Jaksel",DKI JAKARTA,Isolasi Air Borne,Isolasi,16,2,2,4,-,-,12,N/A,28/Mar/2020 09:17:34,-6.294844,106.79556299999999
3277020,RS Umum Daerah Cibabat, Jl. Jend. H. Amir Machmud No. 140 Kel. Cibabat Kec. Cimahi Utara,JAWA BARAT,Isolasi Air Borne,Kelas 3,10,4,4,8,0,2,2,N/A,12/Feb/2019 08:37:28,-6.87965,107.550835
3275013,RS Umum Daerah dr. Chasbullah Abdulmadjid,Jl. Pramuka No. 55 Bekasi,JAWA BARAT,Isolasi TB MDR,Rawat Khusus,1,1,0,1,-,-,0,N/A,29/Jan/2019 05:57:31,-6.268111,107.082497
3275013,RS Umum Daerah dr. Chasbullah Abdulmadjid,Jl. Pramuka No. 55 Bekasi,JAWA BARAT,Isolasi Anak,VIP,6,4,2,6,-,-,0,N/A,26/Dec/2018 10:01:16,-6.268111,107.082497
3274016,RS Umum Daerah Gunung Jati,  Jl. Kesambi No.56 Cirebon - 45134,JAWA BARAT,Isolasi TB MDR,Isolasi,10,3,0,3,7,7,14,N/A,27/Mar/2020 22:06:41,-6.731180999999999,108.555885
3273528,RS Ibu dan Anak Melinda,"Jl. Pajajaran No.46 Kel Pasirkaliki, Kec. Cicendo, Kota Bandung",JAWA BARAT,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.906814,107.60336299999999
3273486,RS Umum Santosa Hospital Bandung Central,"Jl. Kebon Jati No.38,Bandung",JAWA BARAT,Isolasi Air Borne,Rawat Khusus,3,2,1,3,-,-,0,N/A,20/Feb/2019 08:02:01,-6.918497,107.59816000000001
3273453,RS Khusus Ginjal NY R.A. Habibie,Jl. Tubagus Ismail No. 46 Kota Bandung,JAWA BARAT,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.885364,107.619629
3273420,RS Umum Al-Islam Bandung,Jl. Soekarno. Hatta 644 Bandung,JAWA BARAT,Isolasi Imunitas menurun,Rawat Khusus,3,0,0,0,1,1,2,3,15/Sep/2018 01:06:15,-6.939222,107.668999
3273121,RS Umum Rajawali,Jl. Rajawali No.38 Kota Bandung,JAWA BARAT,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.91255,107.572998
3273052,RS Umum Immanuel Bandung,Jl. Kopo 161 Bandung,JAWA BARAT,Isolasi Radioaktif,Kelas 1,0,0,0,0,-,-,0,N/A,24/Oct/2017 08:38:05,-6.93545,107.596001
3273030,RS Umum Lanud dr. M. Salamun,Jl. Ciumbuleuit 203 Bandung,JAWA BARAT,Isolasi Anak,Isolasi,1,0,0,0,1,0,1,N/A,31/Jul/2018 06:40:48,-6.864889,107.605003
3271013,RS Umum PMI Bogor,Jl. Raya Pajajaran No. 80 Bogor,JAWA BARAT,Isolasi Anak,Isolasi,1,1,0,1,-,-,0,N/A,28/Mar/2020 03:44:58,-6.597042,106.806114
3215012,RS Umum Daerah Karawang," Jl. Galuh Mas Raya No.1, Sukaharja, Teluk Jambe, Karawang",JAWA BARAT,Isolasi Anak,Isolasi,3,2,1,3,-,-,0,N/A,27/Mar/2020 09:00:00,-6.257053,107.32285300000001
3212042,RS Umum Bhayangkara Indramayu, Jl. Raya Pantura Km.73-75 Losarang - Indramayu,JAWA BARAT,Isolasi Imunitas menurun,Kelas 3,4,0,0,0,-,-,4,N/A,27/Jun/2018 07:17:57,-6.382319,108.151634
3212016,RS Umum Daerah Kab. Indramayu,Jl. Murah Nara No. 7 Sindang Indramayu,JAWA BARAT,Isolasi TB MDR,Kelas 3,9,1,0,1,4,4,8,N/A,28/Nov/2018 10:44:26,-6.3926940000000005,108.287544
3210014,RS Umum Daerah Majalengka, Jl. Kesehatan No.77 Majalengka,JAWA BARAT,Isolasi TB MDR,Kelas 2,0,2,2,4,-,-,-4,N/A,28/Mar/2020 06:59:46,-6.833375,108.23326100000001
3209014,RS Umum Daerah Waled," Jl. Prabu Kiansantang No. 4 Waled, Cirebon",JAWA BARAT,Isolasi TB MDR,Isolasi,7,2,5,7,-,-,0,N/A,28/Mar/2020 06:00:10,-6.914228,108.71781899999999
3205010,RS Umum Daerah dr. Slamet Garut,Jl. Rumah Sakit No.12 Garut,JAWA BARAT,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-7.2197059999999995,107.89713300000001
3204016,RS Umum Daerah Majalaya,  Jl. Raya Cipaku No.87 Majalaya Kabupaten Bandung,JAWA BARAT,Isolasi TB MDR,Kelas 3,27,15,12,27,-,-,0,N/A,22/Sep/2018 07:17:54,-7.0486580000000005,107.772278
3203015,RS Umum Daerah Sayang, Jl. Rumah Sakit No.1 Cianjur,JAWA BARAT,Isolasi Anak,Isolasi,4,0,0,0,-,-,4,N/A,19/Feb/2018 07:35:20,-6.812192,107.14103700000001
3202051,RS Umum Daerah Jampang Kulon,"  Jl. Cibarusah No.1 Jampang Kulon, Kab.Sukabumi",JAWA BARAT,Isolasi TB MDR,Kelas 1,0,0,0,0,-,-,0,N/A,19/Feb/2018 07:51:21,-6.9196,106.9272
3375071,RS Umum Karomah Holistic,"Jl. Gajah Mada Barat No.124,Pekalongan",JAWA TENGAH,Isolasi TB MDR,Isolasi,2,0,0,0,1,1,2,N/A,28/Mar/2020 11:19:15,-6.889619000000001,109.65248899999999
3375071,RS Umum Karomah Holistic,"Jl. Gajah Mada Barat No.124,Pekalongan",JAWA TENGAH,Isolasi Imunitas menurun,Isolasi,1,0,0,0,1,1,2,N/A,28/Mar/2020 11:19:15,-6.889619000000001,109.65248899999999
3374076,RS Umum Sultan Agung Semarang,"Jl. Raya Kaligawe Km.4,Semarang",JAWA TENGAH,Isolasi Air Borne,Rawat Khusus,1,1,0,1,-,-,0,N/A,06/Mar/2019 21:11:19,-6.955619,110.460999
3374076,RS Umum Sultan Agung Semarang,"Jl. Raya Kaligawe Km.4,Semarang",JAWA TENGAH,Isolasi Imunitas menurun,Rawat Khusus,1,0,0,0,-,-,1,N/A,06/Mar/2019 21:11:19,-6.955619,110.460999
3374010,RS Umum Pusat Dr. Kariadi,"Jl. Dr. Soetomo No.16,Semarang",JAWA TENGAH,Isolasi Radioaktif,Kelas 1,9,1,8,9,-,-,0,N/A,27/Mar/2020 16:58:23,-6.994611,110.406998
3373016,RS Umum Daerah Salatiga," Jl. Osamaliki No.19,Salatiga",JAWA TENGAH,Isolasi TB MDR,Isolasi,6,1,5,6,-,-,0,N/A,08/Mar/2019 09:03:01,-7.327033,110.49621599999999
3326049,RS Umum Daerah Bendan Kota Pekalongan,"   Jl. Sriwijaya No.2,Pekalongan",JAWA TENGAH,Isolasi Air Borne,Rawat Khusus,8,0,0,0,8,8,16,N/A,01/Mar/2018 01:59:26,-6.894569000000001,109.660103
3325015,RS Umum Daerah Kab. Batang,  Jl. Dr Sutomo No. 42 Batang,JAWA TENGAH,Isolasi Air Borne,Isolasi,5,1,2,3,1,1,2,N/A,21/Mar/2020 02:52:11,-6.914681,109.719421
3313042,RS Ibu dan Anak Dian Pertiwi," Jl. Lawu Papahan, Tasikmadu Karanganyar ",JAWA TENGAH,Isolasi Air Borne,Isolasi,2,0,1,1,0,1,1,N/A,19/Feb/2019 05:15:47,-7.605706,110.975021
3310405,RS Khusus Bedah Diponegoro,"Jl. Diponegoro No.21,Klaten",JAWA TENGAH,Isolasi Air Borne,Isolasi,1,0,0,0,-,-,1,N/A,07/Mar/2019 07:02:19,-7.709558,110.614632
3307050,RS Umum Islam Wonosobo,Jl. Letjen S. Parman Km.3 Wonosobo,JAWA TENGAH,Isolasi Air Borne,Kelas 2,6,6,0,6,-,-,0,N/A,27/Feb/2019 07:50:39,-7.368678,109.92742199999999
3471282,RS Ludira Husada Tama,"Jl Wiratama 4 Tegalrejo, Yogyakarta",DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,1,0,0,0,-,-,1,N/A,25/Apr/2019 09:00:03,-7.792467,110.353073
3471234,RS Umum Daerah Kota Yogyakarta,Jl Wirosaban No. 1 Yogyakarta,DI YOGYAKARTA,Isolasi Air Borne,Isolasi,3,1,0,1,-,-,2,N/A,02/Jan/2019 03:08:14,-7.825861,110.377998
3471234,RS Umum Daerah Kota Yogyakarta,Jl Wirosaban No. 1 Yogyakarta,DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,3,1,0,1,1,0,1,N/A,28/Mar/2020 09:56:26,-7.825861,110.377998
3471052,RS Umum Panti Rapih,Jl. Cik Di Tiro 30 Yogyakarta,DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,4,2,0,2,2,0,2,N/A,28/Mar/2020 09:56:22,-7.776339,110.375999
3404081,RS Umum Condong Catur,"Jl Manggis No.6, Gempol, Condong Catur Sleman ",DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,2,0,0,0,-,-,2,N/A,26/Mar/2020 20:39:43,-7.696006,110.345825
3404056,RS Jih,Jl Ring Road Utara no. 160 Condongcatur Depok,DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,5,4,0,4,-,-,1,N/A,12/Mar/2020 11:06:08,-7.759047,110.40299999999999
3404033,RS Umum Panti Baktiningsih,"Klepu Sendangmulyo Minggir, Sleman",DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,1,0,0,0,-,-,1,N/A,28/Mar/2020 03:06:05,-7.756089,110.245003
3404015,RSUP Dr. Sardjito,Jl Kesehatan No.1 Sekip Yogyakarta ,DI YOGYAKARTA,Isolasi Radioaktif,Kelas 1,4,0,0,0,-,-,4,N/A,09/Mar/2019 00:00:02,-7.768511,110.374001
3403010,RS Umum Daerah Wonosari,Jl Taman Bakti No. 06 Wonosari,DI YOGYAKARTA,Isolasi Radioaktif,Kelas 1,4,0,0,0,2,2,4,N/A,07/Jan/2019 11:05:53,-7.96205,110.602997
3402075,RS Umum Permata Husada,Jl Pleret-Kotagede Km. 4  Kauman Pleret,DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,1,0,0,0,1,1,2,N/A,12/May/2018 10:51:21,-7.88555,110.330025
3402031,RSU PKU Muhammadiyah Bantul,Jl Jenderal Sudirman 124 Bantul,DI YOGYAKARTA,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-7.886867,110.330215
3402016,RS Umum Daerah Panembahan Senopati,Jl Dr. Wahidin Sudiro Husodo Bantul,DI YOGYAKARTA,Isolasi Air Borne,Kelas 2,2,0,2,2,-,-,0,N/A,28/Mar/2020 11:26:01,-7.892725,110.337746
3402016,RS Umum Daerah Panembahan Senopati,Jl Dr. Wahidin Sudiro Husodo Bantul,DI YOGYAKARTA,Isolasi Imunitas menurun,Kelas 2,4,0,1,1,-,-,3,N/A,09/Mar/2019 00:12:55,-7.892725,110.337746
3401015,RS Umum Daerah Wates,Jl Tentara Pelajar Km.1 No.5 Wates Kulon Progo,DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,6,0,0,0,-,-,6,N/A,28/Feb/2018 10:11:40,-7.893206,110.12782299999999
3578523,RS Umum Haji Surabaya, Jl. Manyar Kertoadi  Surabaya,JAWA TIMUR,Isolasi Air Borne,Isolasi,5,3,0,3,0,2,2,N/A,27/Mar/2020 10:17:19,-7.282331,112.779587
3578523,RS Umum Haji Surabaya, Jl. Manyar Kertoadi  Surabaya,JAWA TIMUR,Isolasi Imunitas menurun,Isolasi,4,0,0,0,4,0,4,N/A,27/Mar/2020 10:19:02,-7.282331,112.779587
3578122,RS Umum Tk. III Brawijaya,Jl. Kesatrian No.17 Surabaya,JAWA TIMUR,Isolasi Air Borne,Kelas 1,2,0,0,0,1,1,2,N/A,10/May/2018 07:12:46,-7.29785,112.725182
3577015,RS Umum Daerah Dr. Soedono Madiun,"Jl. Dr. Soetomo 59, Madiun",JAWA TIMUR,Isolasi Imunitas menurun,Isolasi,2,0,0,0,-,-,2,N/A,02/Feb/2018 09:13:41,-7.6264330000000005,111.524124
3573011,RS Umum Daerah Dr. Saiful Anwar,     Jl. Jaksa Agung Suprapto No.2 Malang,JAWA TIMUR,Isolasi TB MDR,Kelas 3,2,1,0,1,0,1,1,N/A,27/Mar/2020 04:45:45,-7.964533,112.63171399999999
3573011,RS Umum Daerah Dr. Saiful Anwar,     Jl. Jaksa Agung Suprapto No.2 Malang,JAWA TIMUR,Isolasi Imunitas menurun,Kelas 3,5,0,0,0,3,2,5,N/A,27/Mar/2020 04:45:23,-7.964533,112.63171399999999
3572010,RS Umum Daerah Mardi Waluyo," Jl. Kalimantan 113, Kota Blitar",JAWA TIMUR,Isolasi Imunitas menurun,Kelas 1,2,0,0,0,-,-,2,N/A,18/Feb/2019 08:41:29,-8.072881,112.166496
3571053,RS Kusta Kediri,"Jl. Veteran No. 48, Kediri",JAWA TIMUR,Isolasi Air Borne,Rawat Khusus,6,0,0,0,-,-,6,N/A,23/Feb/2018 11:21:56,-7.811458,111.99717700000001
3526011,RS Umum Daerah Syarifah Ambami Rato Ebu,  Jl. Pemuda Kaffa No. 9 Bangkalan,JAWA TIMUR,Isolasi Air Borne,Isolasi,23,3,1,4,8,11,19,N/A,02/Feb/2018 07:12:01,-7.029261,112.75927
3524020,RS Islam Nashrul Ummah,"  Jl. Merpati No.62, Lamongan",JAWA TIMUR,Isolasi TB MDR,super VIP,2,0,0,0,1,1,2,N/A,27/Mar/2020 02:56:41,-7.1163419999999995,112.419655
3522058,RS umum Daerah Padangan,"Jl. Dr. Soetomo No. 2 Padangan, Bojonegoro",JAWA TIMUR,Isolasi Air Borne,Isolasi,4,2,2,4,-,-,0,N/A,25/Oct/2018 10:26:53,-7.160639,111.63351399999999
3519012,RS Paru Dungus,Jl. Raya Dungus - Wungu Madiun,JAWA TIMUR,Isolasi Air Borne,Kelas 2,1,0,0,0,1,0,1,N/A,28/Nov/2018 10:57:06,-7.665541999999999,111.58098600000001
3515121,RS Umum Anwar Medika,Jl. Raya By Pass Krian KM 33 Semawut Balong Bendo Sidoarjo,JAWA TIMUR,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,19/Dec/2018 10:39:00,-7.4121690000000005,112.561089
3513013,RS Umum Daerah Waluyo Jati Kraksaan,Jl. Dr. Soetomo No. 1 Kec. Kraksaan Kab. Probolinggo,JAWA TIMUR,Isolasi Air Borne,Kelas 2,2,0,0,0,1,1,2,N/A,28/Mar/2020 09:00:00,-7.761831,113.437401
3511011,RS Umum dr. H.Koesnadi Bondowoso, Jl. Piere Tendean No. 3 Bondowoso,JAWA TIMUR,Isolasi Radioaktif,Kelas 1,4,0,0,0,-,-,4,N/A,23/Jan/2019 09:42:11,-8.215011,114.377457
3509010,RS Umum Daerah Dr. Soebandi,"Jl. Dr. Soebandi No.124, Jember",JAWA TIMUR,Isolasi Imunitas menurun,Kelas 2,10,2,1,3,-,-,7,N/A,22/Nov/2018 06:08:45,-8.156189,113.71539299999999
3507085,RS Umum Daerah Lawang,JL. R.A. Kartini No. 5 Lawang Kab. Malang,JAWA TIMUR,Isolasi TB MDR,Kelas 1,4,2,0,2,0,2,2,N/A,01/Feb/2018 11:31:50,-7.839828,112.676147
3671146,RS Umum Bhakti Asih,"Jl. Raden saleh No.10 Karang Tengah, Tangerang",BANTEN,Isolasi Tekanan Negatif Tanpa Ventilator,Rawat Khusus,3,0,0,0,-,-,3,N/A,28/Mar/2020 04:14:55,-6.221147,106.70576499999999
3671032,RS Kusta Dr. Sitanala,Jl. Dr Sitanala No. 99 Kota Tangerang,BANTEN,Isolasi Air Borne,Kelas 3,2,0,0,0,1,1,2,N/A,28/Mar/2020 10:57:08,-6.162642,106.63368999999999
3671032,RS Kusta Dr. Sitanala,Jl. Dr Sitanala No. 99 Kota Tangerang,BANTEN,Isolasi TB MDR,Kelas 1,2,0,0,0,2,2,4,N/A,28/Mar/2020 10:57:08,-6.162642,106.63368999999999
3671032,RS Kusta Dr. Sitanala,Jl. Dr Sitanala No. 99 Kota Tangerang,BANTEN,Isolasi Imunitas menurun,Kelas 3,2,0,0,0,1,1,2,N/A,28/Mar/2020 10:57:08,-6.162642,106.63368999999999
3671032,RS Kusta Dr. Sitanala,Jl. Dr Sitanala No. 99 Kota Tangerang,BANTEN,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.162642,106.63368999999999
3603010,RS Umum Daerah Kabupaten Tangerang,"Jl. A Yani No. 9 Tangerang, Kota Tangerang",BANTEN,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.170044,106.63546799999999
3602022,RS Misi Lebak,Jl. Multatuli No.41 Rangkas Bitung,BANTEN,Isolasi Air Borne,Kelas 3,2,1,0,1,0,1,1,1,28/Mar/2020 11:22:23,-6.369178,106.28311200000002
3602022,RS Misi Lebak,Jl. Multatuli No.41 Rangkas Bitung,BANTEN,Isolasi Imunitas menurun,Kelas 3,5,0,0,0,3,2,5,5,28/Mar/2020 11:22:23,-6.369178,106.28311200000002
3601010,RS Umum Daerah Berkah Pandeglang,       Jalan Raya Labuan KM 5 Cikoneng Pandeglang,BANTEN,Isolasi TB MDR,Kelas 3,12,6,4,10,0,2,2,N/A,25/Feb/2018 05:01:09,-7.31775,108.281906
5171020,RS Umum Daerah Wangaya,  Jl. Kartini No.133 Denpasar,BALI,Isolasi TB MDR,Kelas 1,0,0,0,0,-,-,0,N/A,04/Dec/2018 06:17:19,-8.648956,115.213402
5171016,RSUP Sanglah,Jl. Diponegoro Denpasar Bali,BALI,Isolasi Air Borne,Kelas 2,3,0,0,0,-,-,3,N/A,08/Mar/2019 06:29:58,-8.676161,115.213104
5104012,RS Umum Daerah Sanjiwani Gianyar,    Jl. Ciung Wenara No.2 Gianyar,BALI,Isolasi TB MDR,Rawat Khusus,12,0,0,0,6,6,12,N/A,22/Feb/2018 07:25:29,-8.537967,115.32273899999998
5201010,RS Umum Daerah Patut Patuh Patju,Jl. H. Lalu Anggrat BA No. 2 Gerung,NUSA TENGGARA BARAT,Isolasi Air Borne,Isolasi,3,0,0,0,2,1,3,N/A,24/Mar/2020 05:20:19,-8.691361,116.112099
5308045,RS Umum Daerah Lewoleba,"   Jl.Trans Lembata No.1,Lewoleba,Lembata",NUSA TENGGARA TIMUR,Isolasi Air Borne,Kelas 3,0,0,0,0,-,-,0,N/A,28/Feb/2018 08:48:40,-8.373692,123.400024
5308045,RS Umum Daerah Lewoleba,"   Jl.Trans Lembata No.1,Lewoleba,Lembata",NUSA TENGGARA TIMUR,Isolasi TB MDR,Kelas 3,0,0,0,0,-,-,0,N/A,28/Feb/2018 08:48:59,-8.373692,123.400024
5308045,RS Umum Daerah Lewoleba,"   Jl.Trans Lembata No.1,Lewoleba,Lembata",NUSA TENGGARA TIMUR,Isolasi Imunitas menurun,Kelas 3,0,0,0,0,-,-,0,N/A,28/Feb/2018 08:49:48,-8.373692,123.400024
5308045,RS Umum Daerah Lewoleba,"   Jl.Trans Lembata No.1,Lewoleba,Lembata",NUSA TENGGARA TIMUR,Isolasi Radioaktif,Kelas 3,0,0,0,0,-,-,0,N/A,28/Feb/2018 08:49:58,-8.373692,123.400024
5308045,RS Umum Daerah Lewoleba,"   Jl.Trans Lembata No.1,Lewoleba,Lembata",NUSA TENGGARA TIMUR,Isolasi Anak,Kelas 3,0,0,0,0,-,-,0,N/A,28/Feb/2018 08:52:58,-8.373692,123.400024
5308045,RS Umum Daerah Lewoleba,"   Jl.Trans Lembata No.1,Lewoleba,Lembata",NUSA TENGGARA TIMUR,Isolasi Hematologi Onkologi Anak,Kelas 3,0,0,0,0,-,-,0,N/A,28/Feb/2018 08:53:24,-8.373692,123.400024
5306031,RS Sito Husada,"Jl. KH.Dewantara No.15,Atambua Belu",NUSA TENGGARA TIMUR,Isolasi TB MDR,Isolasi,4,1,1,2,1,0,1,N/A,28/Mar/2020 09:32:03,-9.333333,124.900002
5303033,RS Bhayangkara,Jl. Nangka No. 84 Kupang,NUSA TENGGARA TIMUR,Isolasi TB MDR,Rawat Khusus,2,0,0,0,-,-,2,N/A,02/Jan/2019 08:09:50,-10.1843,123.59485600000001
6104014,RS Umum Daerah Dr. Rubini Mempawah,Jalan Raden Kusno Mempawah,KALIMANTAN BARAT,Isolasi TB MDR,Kelas 2,4,0,0,0,4,4,8,N/A,27/Mar/2020 14:01:01,-0.022522,109.330307
6104014,RS Umum Daerah Dr. Rubini Mempawah,Jalan Raden Kusno Mempawah,KALIMANTAN BARAT,Isolasi Anak,Kelas 3,4,0,1,1,2,1,3,N/A,30/Jan/2019 10:36:30,-0.022522,109.330307
6103013,RS Umum Daerah Kabupaten Landak,Jl. Raya Ngabang Sanggau No.109 Kecamatan Ngabang Kabupaten Landak,KALIMANTAN BARAT,Isolasi TB MDR,Kelas 3,12,2,0,2,10,0,10,N/A,28/Mar/2020 11:26:54,-7.042153,112.89679699999999
6103013,RS Umum Daerah Kabupaten Landak,Jl. Raya Ngabang Sanggau No.109 Kecamatan Ngabang Kabupaten Landak,KALIMANTAN BARAT,Isolasi Imunitas menurun,Kelas 3,10,3,1,4,2,4,6,N/A,27/Feb/2019 06:30:26,-7.042153,112.89679699999999
6101022,RS Umum Daerah Sambas,Jl. Pendidikan no 300 Kecamatan Sambas,KALIMANTAN BARAT,Isolasi TB MDR,Isolasi,2,2,0,2,-,-,0,N/A,28/Mar/2020 10:50:01,1.361328,109.309998
6203015,RS Umum Daerah Dr H Soemarno S,   Jl. Tambun Bungai  No. 16 Kuala Kapuas,KALIMANTAN TENGAH,Isolasi Air Borne,Kelas 2,7,0,0,0,7,7,14,N/A,28/Mar/2020 11:26:06,-3.002806,114.39102199999999
