satker,nama,alamat,prov,ruang,kelas,total_kamar,terisi_lk,terisi_pr,total_terisi,kosong_lk,kosong_pr,total_kosong,waiting_list,last_update,lat,lng
1308016,RS Umum Daerah Lubuk Basung,"        Jl. M.Hatta Padang Baru,Lubuk Basung",SUMATERA BARAT,Isolasi Imunitas menurun,Kelas 1,2,0,0,0,1,1,2,N/A,01/Apr/2020 03:48:26,-0.25455,100.172493
1406016,RS Umum Daerah Bangkinang,"Jl Lingkar Bangkinang-Batu Belah, Kampar, Riau",RIAU,Isolasi TB MDR,Rawat Khusus,3,0,1,1,-,-,2,N/A,31/Mar/2020 12:27:53,0.34616399999999997,101.118904
1571067,RS Umum Mayang Medical Centre,"Jl. Ir.H. Juanda No.56 Simp III Sipin, Jambi",JAMBI,Isolasi Air Borne,Kelas 1,4,1,0,1,1,2,3,N/A,30/May/2018 07:03:30,-1.630422,103.550972
1673031,RS Umum Daerah Basemah Kota Pagar Alam,   Jl. AIS Nasution No.3,SUMATERA SELATAN,ICU,Isolasi,6,1,2,3,2,1,3,N/A,08/Mar/2019 12:47:07,-4.037669,103.265297
1671265,RS Umum Daerah Palembang Bari,"    Jl. Panca Usaha No.1 Kel. 5 ulu Seb. Ulu I, PALEMBANG",SUMATERA SELATAN,NICU,Isolasi,6,4,1,5,0,1,1,N/A,26/Jul/2018 13:00:04,-2.962319,104.779945
1671265,RS Umum Daerah Palembang Bari,"    Jl. Panca Usaha No.1 Kel. 5 ulu Seb. Ulu I, PALEMBANG",SUMATERA SELATAN,PICU,Isolasi,3,0,1,1,1,1,2,N/A,26/Jul/2018 13:00:04,-2.962319,104.779945
1671265,RS Umum Daerah Palembang Bari,"    Jl. Panca Usaha No.1 Kel. 5 ulu Seb. Ulu I, PALEMBANG",SUMATERA SELATAN,CVCU/ICCU,Isolasi,3,2,0,2,0,1,1,N/A,26/Jul/2018 13:00:04,-2.962319,104.779945
1671013,RS Umum Pusat Dr. Mohammad Hoesin Palembang,"JL Jendral Sudirman KM 3,5 Palembang",SUMATERA SELATAN,Isolasi Air Borne,Rawat Khusus,0,0,0,0,-,-,0,N/A,23/Aug/2018 09:19:05,-2.972911,104.75193
1671013,RS Umum Pusat Dr. Mohammad Hoesin Palembang,"JL Jendral Sudirman KM 3,5 Palembang",SUMATERA SELATAN,Isolasi TB MDR,Rawat Khusus,5,0,1,1,-,-,4,N/A,01/Apr/2020 17:25:15,-2.972911,104.75193
1604016,RS Umum Daerah Lahat,   Jl. Letjend Harun Sohar No.28,SUMATERA SELATAN,Isolasi Natural Air Flow Dengan Ventilator,Rawat Khusus,4,0,0,0,-,-,4,N/A,01/Apr/2020 05:32:26,-3.7469,103.424683
1709038,RS Umum Daerah Bengkulu Tengah,"   Jl. Raya Bengkulu - Kepahiang  Km.27,5 Desa Durian Demang Kecamatan Karang Tinggi Kabupaten Bengk",BENGKULU,Isolasi TB MDR,Kelas 3,4,0,0,0,2,2,4,N/A,01/Apr/2020 08:01:08,-3.80065,102.256203
1708010,RS Umum Daerah Kepahiang,Jl. Lintas Kepahiang-Bengkulu KM 03 Desa Tebat Monok Kepahiang,BENGKULU,Isolasi Air Borne,Kelas 3,3,0,0,0,2,1,3,N/A,24/Feb/2018 08:17:26,-3.643758,102.573982
1706019,RS Umum Daerah Mukomuko,    Jl. Danau Nibung Desa Kota Praja Kecamatan Air Manjunto Kabupaten Mukomuko Provinsi Bengkulu,BENGKULU,ICU,Isolasi,1,0,0,0,1,0,1,N/A,06/Feb/2019 08:27:58,-2.575764,101.117302
1702015,RS Umum Daerah Curup,Jl. Basuki rahmat No. 10 Dwi Tunggal Curup,BENGKULU,Isolasi Imunitas menurun,Rawat Khusus,5,2,1,3,1,1,2,N/A,01/Apr/2020 04:04:24,-3.4574529999999997,102.55326099999999
1702015,RS Umum Daerah Curup,Jl. Basuki rahmat No. 10 Dwi Tunggal Curup,BENGKULU,Isolasi Anak,Rawat Khusus,0,0,0,0,-,-,0,N/A,01/Apr/2020 04:03:32,-3.4574529999999997,102.55326099999999
1807014,RS Umum Daerah Zainal Abidin Pagar Alam,"   Jl. Raya Lintas Sumatera, Blambangan Umpu",LAMPUNG,Isolasi Air Borne,Isolasi,2,0,0,0,1,1,2,N/A,27/Oct/2018 07:28:50,-5.379453,105.25293700000002
1801017,RS Umum Daerah Dr H Abdul Moeloek,"   Jl. Dr. Rivai 6,Penengahan B.Lampung",LAMPUNG,Isolasi Air Borne,Rawat Khusus,6,0,0,0,-,-,6,N/A,04/Mar/2019 10:15:01,-5.79025,105.717064
1801017,RS Umum Daerah Dr H Abdul Moeloek,"   Jl. Dr. Rivai 6,Penengahan B.Lampung",LAMPUNG,Isolasi TB MDR,Kelas 3,6,1,1,2,-,-,4,N/A,31/Mar/2020 01:35:00,-5.79025,105.717064
1971043,RS Bakti Timah Pangkalpinang,"Jl. Bukit Baru No.1, Kel.Taman Bunga Kec.Gerunggang Pangkal Pinang",KEPULAUAN BANGKA BELITUNG,ICU,Isolasi,1,0,1,1,-,-,0,N/A,01/Apr/2020 04:17:45,-2.230789,106.13456699999999
1903013,RS Umum Daerah Sejiran Setason," Jl. Kadur Dalam, Ds Belo Laut Kecamatan Muntok",KEPULAUAN BANGKA BELITUNG,Kebidanan,Isolasi,2,0,0,0,0,2,2,N/A,16/Jul/2018 05:55:56,-1.837403,105.445778
3175016,RS Umum Daerah Koja," Jl. Deli No.4 Tanjung Priok,Jakut",DKI JAKARTA,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.108861,106.900002
3174074,RS Umum Daerah Cengkareng,Jl.Kamal Raya Bumi Cengkareng Indah Cengkareng Timur,DKI JAKARTA,Isolasi Air Borne,Intermediate,8,1,6,7,-,-,1,N/A,01/Apr/2020 17:40:02,-6.14275,106.735001
3174074,RS Umum Daerah Cengkareng,Jl.Kamal Raya Bumi Cengkareng Indah Cengkareng Timur,DKI JAKARTA,Isolasi Imunitas menurun,Isolasi,41,14,16,30,-,-,11,N/A,01/Apr/2020 17:40:02,-6.14275,106.735001
3173014,RSUPN Dr. Cipto Mangunkusumo,    Jl. Diponegoro 71 Jakarta Pusat,DKI JAKARTA,Isolasi Radioaktif,Kelas 3,13,0,3,3,-,-,10,N/A,08/Mar/2019 10:17:50,-6.196661,106.84515400000001
3172013,RSUP Persahabatan,"    Jl. Persahabatan Raya No. 1,Jaktim",DKI JAKARTA,Isolasi Air Borne,Isolasi,6,12,0,12,-,-,-6,N/A,01/Apr/2020 17:40:37,-6.204058,106.884773
3172013,RSUP Persahabatan,"    Jl. Persahabatan Raya No. 1,Jaktim",DKI JAKARTA,Isolasi TB MDR,Rawat Khusus,12,10,0,10,-,-,2,N/A,01/Apr/2020 17:40:37,-6.204058,106.884773
3171012,RSUP Fatmawati," Jl. RS Fatmawati Cilandak,Jaksel",DKI JAKARTA,Anak,Isolasi,15,0,3,3,-,-,12,N/A,01/Apr/2020 08:55:39,-6.294844,106.79556299999999
3171012,RSUP Fatmawati," Jl. RS Fatmawati Cilandak,Jaksel",DKI JAKARTA,Isolasi Air Borne,Isolasi,27,11,22,33,-,-,-6,N/A,01/Apr/2020 08:55:39,-6.294844,106.79556299999999
3277020,RS Umum Daerah Cibabat, Jl. Jend. H. Amir Machmud No. 140 Kel. Cibabat Kec. Cimahi Utara,JAWA BARAT,Isolasi Air Borne,Kelas 3,10,4,4,8,0,2,2,N/A,12/Feb/2019 08:37:28,-6.87965,107.550835
3275013,RS Umum Daerah dr. Chasbullah Abdulmadjid,Jl. Pramuka No. 55 Bekasi,JAWA BARAT,Isolasi TB MDR,Rawat Khusus,1,1,0,1,-,-,0,N/A,29/Jan/2019 05:57:31,-6.268111,107.082497
3275013,RS Umum Daerah dr. Chasbullah Abdulmadjid,Jl. Pramuka No. 55 Bekasi,JAWA BARAT,Isolasi Anak,VIP,6,4,2,6,-,-,0,N/A,26/Dec/2018 10:01:16,-6.268111,107.082497
3274016,RS Umum Daerah Gunung Jati,  Jl. Kesambi No.56 Cirebon - 45134,JAWA BARAT,Isolasi TB MDR,Isolasi,10,2,1,3,7,7,14,N/A,31/Mar/2020 19:40:37,-6.731180999999999,108.555885
3273528,RS Ibu dan Anak Melinda,"Jl. Pajajaran No.46 Kel Pasirkaliki, Kec. Cicendo, Kota Bandung",JAWA BARAT,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.906814,107.60336299999999
3273486,RS Umum Santosa Hospital Bandung Central,"Jl. Kebon Jati No.38,Bandung",JAWA BARAT,Isolasi Air Borne,Rawat Khusus,3,2,1,3,-,-,0,N/A,20/Feb/2019 08:02:01,-6.918497,107.59816000000001
3273453,RS Khusus Ginjal NY R.A. Habibie,Jl. Tubagus Ismail No. 46 Kota Bandung,JAWA BARAT,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.885364,107.619629
3273420,RS Umum Al-Islam Bandung,Jl. Soekarno. Hatta 644 Bandung,JAWA BARAT,Isolasi Imunitas menurun,Rawat Khusus,3,0,0,0,1,1,2,3,15/Sep/2018 01:06:15,-6.939222,107.668999
3273121,RS Umum Rajawali,Jl. Rajawali No.38 Kota Bandung,JAWA BARAT,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.91255,107.572998
3273052,RS Umum Immanuel Bandung,Jl. Kopo 161 Bandung,JAWA BARAT,Isolasi Radioaktif,Kelas 1,0,0,0,0,-,-,0,N/A,24/Oct/2017 08:38:05,-6.93545,107.596001
3273030,RS Umum Lanud dr. M. Salamun,Jl. Ciumbuleuit 203 Bandung,JAWA BARAT,Isolasi Anak,Isolasi,1,0,0,0,1,0,1,N/A,31/Jul/2018 06:40:48,-6.864889,107.605003
3271013,RS Umum PMI Bogor,Jl. Raya Pajajaran No. 80 Bogor,JAWA BARAT,Isolasi Anak,Isolasi,1,1,0,1,-,-,0,N/A,30/Mar/2020 11:13:40,-6.597042,106.806114
3216252,RS Umum Daerah Kab.Bekasi," Jl. Teuku Umar Cibitung,Bekasi",JAWA BARAT,ICU,Isolasi,2,2,2,4,-,-,-2,N/A,01/Apr/2020 17:01:01,-6.266789,107.082001
3216252,RS Umum Daerah Kab.Bekasi," Jl. Teuku Umar Cibitung,Bekasi",JAWA BARAT,NICU,Isolasi,8,6,6,12,2,2,4,N/A,01/Apr/2020 17:01:01,-6.266789,107.082001
3216252,RS Umum Daerah Kab.Bekasi," Jl. Teuku Umar Cibitung,Bekasi",JAWA BARAT,CVCU/ICCU,Isolasi,0,0,0,0,-,-,0,N/A,01/Apr/2020 17:01:01,-6.266789,107.082001
3215023,RS Umum Bayukarta,Jl. Kertabumi No.44 Karawang,JAWA BARAT,ICU,Isolasi,1,0,0,0,-,-,1,N/A,12/Oct/2017 11:35:29,-6.314722,107.31723799999999
3215012,RS Umum Daerah Karawang," Jl. Galuh Mas Raya No.1, Sukaharja, Teluk Jambe, Karawang",JAWA BARAT,Isolasi Anak,Isolasi,3,1,2,3,-,-,0,N/A,01/Apr/2020 09:00:00,-6.257053,107.32285300000001
3212042,RS Umum Bhayangkara Indramayu, Jl. Raya Pantura Km.73-75 Losarang - Indramayu,JAWA BARAT,Isolasi Imunitas menurun,Kelas 3,4,0,0,0,-,-,4,N/A,27/Jun/2018 07:17:57,-6.382319,108.151634
3212031,RS Umum Daerah M.A. Sentot Patrol,Jl. Raya Patrol Km. 46 Patrol Kab. Indramayu,JAWA BARAT,ICU,Isolasi,8,4,4,8,-,-,0,N/A,05/Mar/2019 06:17:30,-6.8291830000000004,107.70253000000001
3212016,RS Umum Daerah Kab. Indramayu,Jl. Murah Nara No. 7 Sindang Indramayu,JAWA BARAT,Isolasi TB MDR,Kelas 3,9,1,0,1,4,4,8,N/A,28/Nov/2018 10:44:26,-6.3926940000000005,108.287544
3210014,RS Umum Daerah Majalengka, Jl. Kesehatan No.77 Majalengka,JAWA BARAT,Isolasi TB MDR,Kelas 2,0,3,2,5,-,-,-5,N/A,30/Mar/2020 06:59:44,-6.833375,108.23326100000001
3210014,RS Umum Daerah Majalengka, Jl. Kesehatan No.77 Majalengka,JAWA BARAT,ICU,Isolasi,1,0,0,0,-,-,1,N/A,30/Mar/2020 06:59:44,-6.833375,108.23326100000001
3210014,RS Umum Daerah Majalengka, Jl. Kesehatan No.77 Majalengka,JAWA BARAT,-,Isolasi,0,0,0,0,-,-,0,N/A,01/Jan/1970 07:00:00,-6.833375,108.23326100000001
3209014,RS Umum Daerah Waled," Jl. Prabu Kiansantang No. 4 Waled, Cirebon",JAWA BARAT,Isolasi TB MDR,Isolasi,7,2,3,5,1,1,2,N/A,31/Mar/2020 05:59:59,-6.914228,108.71781899999999
3208013,RS Umum Daerah 45 Kuningan,Jl. Jendral Sudirman No. 68 Kuningan,JAWA BARAT,Paru,Isolasi,10,2,2,4,3,3,6,N/A,23/Feb/2019 05:43:38,-6.982614,108.487427
3207012,RS Umum Daerah Kab. Ciamis,   Jl. Rumah Sakit No.76 Ciamis,JAWA BARAT,Paru,Isolasi,24,9,9,18,3,3,6,N/A,07/Mar/2019 05:36:31,-7.329803,108.35932199999999
3205010,RS Umum Daerah dr. Slamet Garut,Jl. Rumah Sakit No.12 Garut,JAWA BARAT,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-7.2197059999999995,107.89713300000001
3204016,RS Umum Daerah Majalaya,  Jl. Raya Cipaku No.87 Majalaya Kabupaten Bandung,JAWA BARAT,Isolasi TB MDR,Kelas 3,27,15,12,27,-,-,0,N/A,22/Sep/2018 07:17:54,-7.0486580000000005,107.772278
3203015,RS Umum Daerah Sayang, Jl. Rumah Sakit No.1 Cianjur,JAWA BARAT,Isolasi Anak,Isolasi,4,0,0,0,-,-,4,N/A,19/Feb/2018 07:35:20,-6.812192,107.14103700000001
3202051,RS Umum Daerah Jampang Kulon,"  Jl. Cibarusah No.1 Jampang Kulon, Kab.Sukabumi",JAWA BARAT,Isolasi TB MDR,Kelas 1,0,0,0,0,-,-,0,N/A,19/Feb/2018 07:51:21,-6.9196,106.9272
3202040,RS Umum Daerah Palabuhanratu, Jl. Ahmad Yani No.2 Palabuhanratu,JAWA BARAT,Infeksi,Isolasi,21,2,4,6,9,6,15,N/A,01/Apr/2020 06:02:41,-6.9923720000000005,106.55728899999998
3375071,RS Umum Karomah Holistic,"Jl. Gajah Mada Barat No.124,Pekalongan",JAWA TENGAH,Isolasi TB MDR,Isolasi,2,0,0,0,1,1,2,N/A,01/Apr/2020 17:11:23,-6.889619000000001,109.65248899999999
3375071,RS Umum Karomah Holistic,"Jl. Gajah Mada Barat No.124,Pekalongan",JAWA TENGAH,Isolasi Imunitas menurun,Isolasi,1,0,0,0,1,1,2,N/A,01/Apr/2020 17:11:23,-6.889619000000001,109.65248899999999
3374076,RS Umum Sultan Agung Semarang,"Jl. Raya Kaligawe Km.4,Semarang",JAWA TENGAH,Isolasi Air Borne,Rawat Khusus,1,0,0,0,-,-,1,N/A,31/Mar/2020 13:47:30,-6.955619,110.460999
3374076,RS Umum Sultan Agung Semarang,"Jl. Raya Kaligawe Km.4,Semarang",JAWA TENGAH,Isolasi Imunitas menurun,Rawat Khusus,1,0,0,0,-,-,1,N/A,31/Mar/2020 13:47:30,-6.955619,110.460999
3374043,RS Umum Telogorejo Semarang,Jl. KH. Ahmad Dahlan Semarang,JAWA TENGAH,Kandungan,Isolasi,8,4,4,8,-,-,0,N/A,31/Mar/2020 11:13:22,-6.988278,110.426651
3374010,RS Umum Pusat Dr. Kariadi,"Jl. Dr. Soetomo No.16,Semarang",JAWA TENGAH,Isolasi Radioaktif,Kelas 1,9,1,7,8,0,1,1,N/A,01/Apr/2020 17:13:02,-6.994611,110.406998
3373016,RS Umum Daerah Salatiga," Jl. Osamaliki No.19,Salatiga",JAWA TENGAH,Isolasi TB MDR,Isolasi,6,1,5,6,-,-,0,N/A,08/Mar/2019 09:03:01,-7.327033,110.49621599999999
3326049,RS Umum Daerah Bendan Kota Pekalongan,"   Jl. Sriwijaya No.2,Pekalongan",JAWA TENGAH,Isolasi Air Borne,Rawat Khusus,8,0,0,0,8,8,16,N/A,01/Mar/2018 01:59:26,-6.894569000000001,109.660103
3326038,RS Umum Daerah Kajen Kab.Pekalongan,Jl. Raya Karangsari Karanganyar Kab. Pekalongan,JAWA TENGAH,ICU,Isolasi,2,1,1,2,1,1,2,N/A,01/Apr/2020 17:01:01,-6.988967,110.446152
3325015,RS Umum Daerah Kab. Batang,  Jl. Dr Sutomo No. 42 Batang,JAWA TENGAH,Isolasi Air Borne,Isolasi,5,1,2,3,1,1,2,N/A,21/Mar/2020 02:52:11,-6.914681,109.719421
3324014,RS Umum Daerah Dr. H. Soewondo Kendal,"Jl. Laut No. 21, Kendal",JAWA TENGAH,Isolasi Air Borne,Kelas 2,4,3,1,4,-,-,0,N/A,31/Mar/2020 13:46:01,-6.920664,110.196671
3319010,RS Umum Daerah dr. Loekmono Hadi,"    Jl. Dr. Lukmonohadi No.19,Kudus",JAWA TENGAH,NICU,Isolasi,1,0,0,0,-,-,1,N/A,30/Mar/2020 10:00:02,-6.819756,110.83596000000001
3313042,RS Ibu dan Anak Dian Pertiwi," Jl. Lawu Papahan, Tasikmadu Karanganyar ",JAWA TENGAH,Isolasi Air Borne,Isolasi,2,0,1,1,0,1,1,N/A,19/Feb/2019 05:15:47,-7.605706,110.975021
3312021,RS Umum Maguan Husada,"Jl. Raya Praci-gribelah Km.6 Suci, Pracimantoro",JAWA TENGAH,HCU,Isolasi,1,0,1,1,-,-,0,N/A,28/Mar/2020 21:18:06,-8.055306,110.808304
3310405,RS Khusus Bedah Diponegoro,"Jl. Diponegoro No.21,Klaten",JAWA TENGAH,Isolasi Air Borne,Isolasi,1,0,0,0,-,-,1,N/A,07/Mar/2019 07:02:19,-7.709558,110.614632
3308014,RS Umum Daerah Muntilan Kab. Magelang,Jl. Kartini No.13 Muntilan,JAWA TENGAH,ICU,Isolasi,2,0,1,1,1,0,1,N/A,05/Mar/2019 07:54:09,-7.584111,110.29081699999999
3307050,RS Umum Islam Wonosobo,Jl. Letjen S. Parman Km.3 Wonosobo,JAWA TENGAH,Isolasi Air Borne,Kelas 2,6,6,0,6,-,-,0,N/A,27/Feb/2019 07:50:39,-7.368678,109.92742199999999
3471282,RS Ludira Husada Tama,"Jl Wiratama 4 Tegalrejo, Yogyakarta",DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,1,0,0,0,-,-,1,N/A,25/Apr/2019 09:00:03,-7.792467,110.353073
3471234,RS Umum Daerah Kota Yogyakarta,Jl Wirosaban No. 1 Yogyakarta,DI YOGYAKARTA,Isolasi Air Borne,Isolasi,3,1,0,1,-,-,2,N/A,02/Jan/2019 03:08:14,-7.825861,110.377998
3471234,RS Umum Daerah Kota Yogyakarta,Jl Wirosaban No. 1 Yogyakarta,DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,3,1,0,1,1,0,1,N/A,01/Apr/2020 15:56:16,-7.825861,110.377998
3471052,RS Umum Panti Rapih,Jl. Cik Di Tiro 30 Yogyakarta,DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,6,5,0,5,5,0,5,N/A,01/Apr/2020 15:56:13,-7.776339,110.375999
3404081,RS Umum Condong Catur,"Jl Manggis No.6, Gempol, Condong Catur Sleman ",DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,2,0,0,0,-,-,2,N/A,31/Mar/2020 20:04:54,-7.696006,110.345825
3404056,RS Jih,Jl Ring Road Utara no. 160 Condongcatur Depok,DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,5,4,0,4,-,-,1,N/A,12/Mar/2020 11:06:08,-7.759047,110.40299999999999
3404033,RS Umum Panti Baktiningsih,"Klepu Sendangmulyo Minggir, Sleman",DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,1,0,0,0,-,-,1,N/A,31/Mar/2020 05:32:07,-7.756089,110.245003
3404015,RSUP Dr. Sardjito,Jl Kesehatan No.1 Sekip Yogyakarta ,DI YOGYAKARTA,Isolasi Radioaktif,Kelas 1,4,0,0,0,-,-,4,N/A,09/Mar/2019 00:00:02,-7.768511,110.374001
3403010,RS Umum Daerah Wonosari,Jl Taman Bakti No. 06 Wonosari,DI YOGYAKARTA,Isolasi Radioaktif,Kelas 1,4,0,0,0,2,2,4,N/A,07/Jan/2019 11:05:53,-7.96205,110.602997
3402075,RS Umum Permata Husada,Jl Pleret-Kotagede Km. 4  Kauman Pleret,DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,1,0,0,0,1,1,2,N/A,30/Mar/2020 10:45:22,-7.88555,110.330025
3402031,RSU PKU Muhammadiyah Bantul,Jl Jenderal Sudirman 124 Bantul,DI YOGYAKARTA,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-7.886867,110.330215
3402016,RS Umum Daerah Panembahan Senopati,Jl Dr. Wahidin Sudiro Husodo Bantul,DI YOGYAKARTA,Isolasi Air Borne,Kelas 2,2,0,2,2,-,-,0,N/A,01/Apr/2020 17:44:01,-7.892725,110.337746
3402016,RS Umum Daerah Panembahan Senopati,Jl Dr. Wahidin Sudiro Husodo Bantul,DI YOGYAKARTA,Isolasi Imunitas menurun,Kelas 2,4,0,1,1,-,-,3,N/A,09/Mar/2019 00:12:55,-7.892725,110.337746
3401015,RS Umum Daerah Wates,Jl Tentara Pelajar Km.1 No.5 Wates Kulon Progo,DI YOGYAKARTA,Isolasi Radioaktif,Isolasi,6,0,0,0,-,-,6,N/A,28/Feb/2018 10:11:40,-7.893206,110.12782299999999
3578523,RS Umum Haji Surabaya, Jl. Manyar Kertoadi  Surabaya,JAWA TIMUR,Isolasi Air Borne,Isolasi,5,3,0,3,0,2,2,N/A,27/Mar/2020 10:17:19,-7.282331,112.779587
3578523,RS Umum Haji Surabaya, Jl. Manyar Kertoadi  Surabaya,JAWA TIMUR,Isolasi Imunitas menurun,Isolasi,4,0,0,0,4,0,4,N/A,27/Mar/2020 10:19:02,-7.282331,112.779587
3578122,RS Umum Tk. III Brawijaya,Jl. Kesatrian No.17 Surabaya,JAWA TIMUR,Isolasi Air Borne,Kelas 1,2,0,0,0,1,1,2,N/A,10/May/2018 07:12:46,-7.29785,112.725182
3578016,RS Umum Daerah Dr. Soetomo," Jl. Mayjend. Prof. Dr. Moestopo No. 6 - 8 Surabaya, Jawa Timur",JAWA TIMUR,Isolasi Imunitas menurun,Kelas 1,6,2,1,3,-,-,3,N/A,31/Mar/2020 01:45:23,-7.266681,112.758224
3577015,RS Umum Daerah Dr. Soedono Madiun,"Jl. Dr. Soetomo 59, Madiun",JAWA TIMUR,Isolasi Imunitas menurun,Isolasi,2,0,0,0,-,-,2,N/A,02/Feb/2018 09:13:41,-7.6264330000000005,111.524124
3575013,RS Umum Daerah Dr. R. Soedarsono Kota Pasuruan, Jl. Dr Wahidin Sudirohusodo No. 1-4 Kota Pasuruan,JAWA TIMUR,Kandungan,Isolasi,3,0,0,0,0,3,3,N/A,01/Apr/2020 03:24:02,-7.664211,112.899002
3574012,RS Umum Daerah dr. Mohamad Saleh Kota Probolinggo,  Jl. Mayjend Panjaitan No.65 Kota Probolinggo,JAWA TIMUR,ICU,Isolasi,1,0,0,0,-,-,1,N/A,31/Mar/2020 08:14:04,-7.74895,113.210327
3574012,RS Umum Daerah dr. Mohamad Saleh Kota Probolinggo,  Jl. Mayjend Panjaitan No.65 Kota Probolinggo,JAWA TIMUR,CVCU/ICCU,Isolasi,1,0,0,0,-,-,1,N/A,31/Mar/2020 08:14:05,-7.74895,113.210327
3573011,RS Umum Daerah Dr. Saiful Anwar,     Jl. Jaksa Agung Suprapto No.2 Malang,JAWA TIMUR,Isolasi TB MDR,Kelas 3,2,1,0,1,0,1,1,N/A,01/Apr/2020 04:41:38,-7.964533,112.63171399999999
3573011,RS Umum Daerah Dr. Saiful Anwar,     Jl. Jaksa Agung Suprapto No.2 Malang,JAWA TIMUR,Isolasi Imunitas menurun,Kelas 3,5,4,1,5,-,-,0,N/A,01/Apr/2020 04:41:20,-7.964533,112.63171399999999
3572010,RS Umum Daerah Mardi Waluyo," Jl. Kalimantan 113, Kota Blitar",JAWA TIMUR,Isolasi Imunitas menurun,Kelas 1,2,0,0,0,-,-,2,N/A,18/Feb/2019 08:41:29,-8.072881,112.166496
3571053,RS Kusta Kediri,"Jl. Veteran No. 48, Kediri",JAWA TIMUR,Isolasi Air Borne,Rawat Khusus,6,0,0,0,-,-,6,N/A,23/Feb/2018 11:21:56,-7.811458,111.99717700000001
3571016,RS Umum Daerah Gambiran,JL. KAPTEN PIERRE TENDEAN NO. 16 KOTA KEDIRI,JAWA TIMUR,ICU,Isolasi,3,0,0,0,-,-,3,N/A,02/Feb/2018 11:12:49,-7.81595,112.004997
3526011,RS Umum Daerah Syarifah Ambami Rato Ebu,  Jl. Pemuda Kaffa No. 9 Bangkalan,JAWA TIMUR,Isolasi Air Borne,Isolasi,23,3,1,4,8,11,19,N/A,02/Feb/2018 07:12:01,-7.029261,112.75927
