"","prov_id","kode_rs","nama_unit","alamat","nama_prov","jenis_faskes","lat","lng"
"41",12,"1275126","RS Umum Methodist","Jl M. H. Thamrin No. 105, Medan","SUMATERA UTARA","Rumah Sakit",3.583789,98.692902
"42",12,"1275094","RS Umum Advent Medan","Jl Gatot Subroto Km.4,Medan","SUMATERA UTARA","Rumah Sakit",3.59,98.6474
"43",12,"1275083","RS Umum Herna","Jl Mojopahit 118 A Medan","SUMATERA UTARA","Rumah Sakit",3.579789,98.665802
"44",12,"1275072","RS Umum Santa Elisabeth Medan","Jl Haji Misbah No.7,Medan","SUMATERA UTARA","Rumah Sakit",3.575289,98.676598
"45",12,"1275050","RS Umum Deli","Jl Merbabu No.18-20 A Medan","SUMATERA UTARA","Rumah Sakit",3.580814,98.657585
"46",12,"1275046","RS Bhayangkara Medan","Jl KH Wahid Hasyim No.1, Medan","SUMATERA UTARA","Rumah Sakit",3.5726,98.658501
"47",12,"1275035","RS Tk. II Putri Hijau Medan","Jl Putri Hijau No. 17, Medan","SUMATERA UTARA","Rumah Sakit",3.595758,98.675636
"48",12,"1275013","RS Umum Daerah Dr. Pirngadi","Jl Prof H M Yamin SH No. 47, Medan","SUMATERA UTARA","Rumah Sakit",3.598119,98.6884
"49",12,"1274056","RS Umum Herna","Jl Balai Kota No. 2 Tebing Tinggi","SUMATERA UTARA","Rumah Sakit",3.170758,99.385338
"50",12,"1274034","RS Umum Sri Pamela","Jl Jend Sudirman  No. 299","SUMATERA UTARA","Rumah Sakit",3.320286,99.149437
"51",12,"1274012","RS Umum Daerah Dr. H. Kumpulan Pane","Jl Dr. Kumpulan Pane No.226","SUMATERA UTARA","Rumah Sakit",3.319444,99.152222
"52",12,"1273102","RS Umum Horas Insani","Jl. Medan Km.2,5 Pematang Siantar","SUMATERA UTARA","Rumah Sakit",2.98615,99.08036
"53",12,"1273092","RS Umum Mina Padi","Jl. Medan KM.10 Pematang Siantar","SUMATERA UTARA","Rumah Sakit",2.988261,99.081474
"54",12,"1273055","RS Umum Vita Insani","Jl. Merdeka No.329, Pematang Siantar","SUMATERA UTARA","Rumah Sakit",2.961683,99.07093
"55",12,"1273033","RS Umum Harapan","Jl Farel Pasaribu No. 21","SUMATERA UTARA","Rumah Sakit",2.966008,99.10923
"56",12,"1273022","RS Tk. IV 01.07.01","Jl. Gn Simanuk Manuk No.6. Pematangsiantar","SUMATERA UTARA","Rumah Sakit",2.959894,99.070564
"57",12,"1273011","RS Umum Daerah Dr. Djasamen Saragih","Jl Sutomo No. 230, Pematangsiantar","SUMATERA UTARA","Rumah Sakit",2.958633,99.069626
"58",12,"1272010","RS Umum Daerah Dr. Tengku Mansyur","Jl Mayjen Sutoyo No. 39 Tanjung Balai","SUMATERA UTARA","Rumah Sakit",3.048817,99.794914
"59",12,"1271031","RS Bantuan Sibolga","Jl Anggrek No.6,Sibolga","SUMATERA UTARA","Rumah Sakit",1.679917,98.868011
"60",12,"1271016","RS Umum Daerah Dr. Fl Tobing Sibolga","Jl Dr. F.L. Tobing No. 35 Sibolga","SUMATERA UTARA","Rumah Sakit",1.700822,98.822945
"61",12,"1218125","RS Umum Daerah Sultan Sulaiman Syariful Alamsyah","Kabupaten Serdang Bedagai","SUMATERA UTARA","Rumah Sakit",3.492603,99.121017
"62",12,"1218024","RS Umum Melati","Jl Deli No. 105-115 Perbaungan, Serdang Bedagai","SUMATERA UTARA","Rumah Sakit",3.599861,98.678497
"63",12,"1218013","RS Umum Trianda","Jl Medan - Tebing Tinggi Km.42,5 No.752B Desa Pasar Bengkel, Kecamatan Perbaungan, Kabupaten Serdan","SUMATERA UTARA","Rumah Sakit",3.561089,99.007591
"64",12,"1214010","RS Umum Daerah Lukas Hilisimaetano","Jln. RSUD Lukas no.01 Hilisimaetano","SUMATERA UTARA","Rumah Sakit",-1.122097,98.748116
"65",12,"1213057","RS Umum Delia","Jl Ki Hajar Dewantara No.9 Kec. Selesai Kabupaten Langkat","SUMATERA UTARA","Rumah Sakit",3.570622,98.418434
"66",12,"1213046","RS Umum Rachmad Insani","Jl Perniagaan No.36 Kel.Stabat Baru Kec.Stabat Kabupaten Langkat","SUMATERA UTARA","Rumah Sakit",3.760064,98.207466
"67",12,"1213035","RS Umum Pertamina Pangkalan Brandan","Jl Wahidin No 1 Pangkalan Brandan","SUMATERA UTARA","Rumah Sakit",4.008322,98.292603
"68",12,"1213024","RS Umum PTP II Tg Selamat","Jl. Besar Batang Serangan No. 48 Kec. Padang Tualang","SUMATERA UTARA","Rumah Sakit",3.815464,98.34816
"69",12,"1213013","RS Umum Daerah Tanjung Pura","Jl Khairil Anwar No.9 Tanjung Pura","SUMATERA UTARA","Rumah Sakit",3.8996,98.415871
"70",12,"1212171","RS Umum Rahmad Hidayah","Jl Limau Manis Pasar XIII No.61, Desa Limau Manis, Tanjung Morawa","SUMATERA UTARA","Rumah Sakit",3.525714,98.793945
"71",12,"1212169","RS Umum Morawa Utama","Jl Medan Tanjung Morawa Km.18,5 Tanjung Morawa","SUMATERA UTARA","Rumah Sakit",3.458072,98.92453
"72",12,"1212136","RS Umum Sinar Husni","Jl Veteran Gg.Utama Psr. V Helvetia","SUMATERA UTARA","Rumah Sakit",3.454744,98.907715
"73",12,"1212114","RS Umum Halvetia","Jl Kapt Sumars No.Deli Serdang","SUMATERA UTARA","Rumah Sakit",3.615556,98.650002
"74",12,"1212093","RS Umum Sari Mutiara Lubuk Pakam","Jl Medan No.17,Lubuk Pakam","SUMATERA UTARA","Rumah Sakit",3.617203,98.689163
"75",12,"1212082","RS Umum Nur Saadah","Tanjung Morawa Km.12,Deli Serdang","SUMATERA UTARA","Rumah Sakit",3.568031,98.714699
"76",12,"1212071","RS Umum Anirma","Jl Teratai Baru Gg. Amal No. 95 Deli Tua","SUMATERA UTARA","Rumah Sakit",3.577469,98.680664
"77",12,"1212045","RS Umum Sembiring Deli Tua","Jl. Besar No.77, Deli Tua","SUMATERA UTARA","Rumah Sakit",3.49035,98.681801
"78",12,"1212023","RS Umum Dr Gerhard L Tobing","Desa Buntu Bedimbar Tanjung Morawa Deli Serdang","SUMATERA UTARA","Rumah Sakit",3.458222,98.88044
"79",12,"1211124","RS Umum Efarina Etaham","Jl Djamin Ginting, Berastagi - Desa Raya, Kab. Karo","SUMATERA UTARA","Rumah Sakit",3.110311,98.281349
"80",12,"1211092","RS Umum Ester","Jl Veteran No.21,Kabanjahe","SUMATERA UTARA","Rumah Sakit",3.663794,98.656441
"81",12,"1211033","RS Umum Kusta Lau Simomo","Desa Lau Simomo Kec. Kabanjahe Kab. Karo","SUMATERA UTARA","Rumah Sakit",3.137533,98.452942
"82",12,"1211011","RS Umum Daerah Kabanjahe","Jl Kapten Selamat Ketaren No. 08 Kabanjahe","SUMATERA UTARA","Rumah Sakit",3.138567,98.454628
"83",12,"1210010","RS Umum Daerah Sidikalang","Jl Rumah Sakit No 19, Sidikalang","SUMATERA UTARA","Rumah Sakit",2.752294,98.309959
"84",12,"1209076","RS Umum Daerah Perdagangan","Jl Radjadmin Purba, SH. Perdagangan","SUMATERA UTARA","Rumah Sakit",2.957975,99.069229
"85",12,"1209032","RS Umum Bridgestone Sumatera Rubber Estate","Dolok Marangir,Kab.Simalungun","SUMATERA UTARA","Rumah Sakit",3.133072,99.147171
"86",12,"1209021","RS Umum Laras Kabupaten Simalungun","Jl Desa Naga Jaya I Kec. Bandar Huluan Kab.Simalungun","SUMATERA UTARA","Rumah Sakit",3.133844,99.148071
"87",12,"1209010","RS Umum Balimbingan PTP 4","Desa Balimbingan, Kecamatan Tanah Jawa, Kabupaten Simalungun, Sumatera Utara","SUMATERA UTARA","Rumah Sakit",2.886433,99.166679
"88",12,"1208042","RS Umum PT Inalum","Tanjung Gading, Kab.Asahan","SUMATERA UTARA","Rumah Sakit",2.817472,99.634132
"89",12,"1208020","RS Umum Ibu Kartini","Jl Syech Silau Rengas Kisaran","SUMATERA UTARA","Rumah Sakit",2.981061,99.622063
"90",12,"1208016","RS Umum Daerah H. Abdul Manan Simatupang","Jl. Sisingamangaraja No. 310 Kisaran","SUMATERA UTARA","Rumah Sakit",2.078778,99.8536
"91",12,"1207052","RS Umum Sri Torgamba","Jln. Lintas Sumatera - Riau KM. 380","SUMATERA UTARA","Rumah Sakit",1.768717,100.229736
"92",12,"1207026","RS Umum PTP III Indrya Husada","Membang Muda Labuhan Batu","SUMATERA UTARA","Rumah Sakit",2.552211,99.660858
"93",12,"1207015","RS Umum Daerah Rantau Prapat","Jl KH Dewantara 129, Rantau Prapat","SUMATERA UTARA","Rumah Sakit",1.509161,99.626404
"94",12,"1205141","RS Umum HKBP Nainggolan","Nainggolan,Kab.Tapanuli Utara","SUMATERA UTARA","Rumah Sakit",2.43435,98.883751
"95",12,"1205061","RS Umum HKBP Balige","Jl Gereja No.17,Balige","SUMATERA UTARA","Rumah Sakit",2.333306,99.083313
"96",12,"1205046","RS Umum Daerah Porsea","Jl Raja Sipakko Napitulu, Ds. Parparean, Kec. Porsea, Kab. Toba Samosir","SUMATERA UTARA","Rumah Sakit",2.340144,99.109116
"97",12,"1205035","RS Umum Daerah Dolok Sanggul","Jl. dr. Ferdinand Lumban Tobing No. 1 Dolok Sanggul","SUMATERA UTARA","Rumah Sakit",2.259583,98.752686
"98",12,"1205024","RS Umum Daerah Dr. Hadrianus Sinaga","Jl Dr Hadrianus Sinaga No. 86 Pangururan","SUMATERA UTARA","Rumah Sakit",2.6014,98.704056
"99",12,"1205013","RS Umum Daerah Tarutung"," Jl Agus Salim No. 1 Tarutung","SUMATERA UTARA","Rumah Sakit",2.034267,98.95858
"100",12,"1204056","RS Umum Daerah Pandan","Jl Dr. FL. Tobing No. 05 Pandan","SUMATERA UTARA","Rumah Sakit",1.682028,98.823067
"101",12,"1203055","RS Umum Daerah Sibuhuan","Jl KH. Dewantara Sibuhuan Kec. Barumun ","SUMATERA UTARA","Rumah Sakit",1.052953,99.791649
"102",12,"1203044","RS Umum Daerah Gunung Tua","Jl Raya gunung Tua - Binangan KM 6 Aek Haruaya","SUMATERA UTARA","Rumah Sakit",1.348142,99.737251
"103",12,"1203033","RS Umum Daerah Tapanuli Selatan","Jl RSU No.1,Sipirok Tapsel","SUMATERA UTARA","Rumah Sakit",1.630233,99.287766
"104",12,"1203022","RS Umum Daerah Panyabungan","Jl Merdeka No.40, Kayu Jati Panyabungan","SUMATERA UTARA","Rumah Sakit",0.854531,99.561409
"105",12,"1201016","RS Umum Daerah Gunungsitoli","Jl dr. Ciptomangunkusumo No 15 Gunungsitoli","SUMATERA UTARA","Rumah Sakit",1.2732,97.622963
"106",13,"1376015","RS Umum Daerah Dr Adnaan WD","  Jl. AIS Nasution 25,Balai Kaliki Payakumbuh","SUMATERA BARAT","Rumah Sakit",-0.233333,100.633331
"107",13,"1375040","RS Umum Ibnu Sina Bukittinggi","Jl. Batang Agam, Belakang Balok ","SUMATERA BARAT","Rumah Sakit",-0.26695,100.383476
"108",13,"1375036","RS Stroke Nasional","Jl. Jend Sudirman,Bukittinggi PO. BOX I Bukittinggi","SUMATERA BARAT","Rumah Sakit",-0.315819,100.374687
"109",13,"1375025","RS Tk IV Bukit Tinggi","Jl. Jen Sudirman 37,Bukittinggi","SUMATERA BARAT","Rumah Sakit",-0.316506,100.374741
"110",13,"1375014","RS Umum Daerah Dr. Achmad Mochtar","        Jl. Dr. A.Rivai Bukittinggi","SUMATERA BARAT","Rumah Sakit",-0.299722,100.366066
"111",13,"1374013","RS Umum Daerah Padang Panjang"," Jl. Tabek Gadang Kelurahan Ganting Kec.Padang Panjang Timur Kota Padang Panjang","SUMATERA BARAT","Rumah Sakit",-0.448875,100.416969
"112",13,"1373012","RS Umum Daerah Sawah Lunto","     Jl. RA. Kartini No.18, Sawah Lunto","SUMATERA BARAT","Rumah Sakit",-0.666667,100.783333
"113",13,"1372011","RS Umum Daerah Solok","  Jl. Simpang Rumbio,Solok","SUMATERA BARAT","Rumah Sakit",-1.476997,101.04686
"114",13,"1371444","RS Umum Daerah dr. Rasidin Padang"," Jl. Air Paku Sei.Sapih Kec.Kuranji,Padang","SUMATERA BARAT","Rumah Sakit",0.904914,100.380157
"115",13,"1371422","RS Khusus Bedah Ropanasuri","Jl. Aur No.8,Padang","SUMATERA BARAT","Rumah Sakit",-0.935383,100.359306
"116",13,"1371411","RS Khusus Mata Sitawa","Jl. Kartini No.17,Padang","SUMATERA BARAT","Rumah Sakit",-0.940067,100.359459
"117",13,"1371400","RS Bersalin Lenggogeni","Jl. Purus II No.1,Padang","SUMATERA BARAT","Rumah Sakit",-0.939967,100.353531
"118",13,"1371375","RS Jantung Sumbar","Jl. Khatib Sulaiman No.71,Padang","SUMATERA BARAT","Rumah Sakit",-0.915019,100.358566
"119",13,"1371316","RS Jiwa Prof.Dr. Hasan Basri Saanin Datuk Tan Pari"," Jl. Raya Ulu Gadut,Padang","SUMATERA BARAT","Rumah Sakit",-0.953731,100.351997
"120",13,"1371284","RS Umum Selaguri","Jl. A.Yani No.26,Padang","SUMATERA BARAT","Rumah Sakit",-0.942803,100.358093
"121",13,"1371273","RS Bersalin Bunda Padang","Jl. Gajah Mada No. 35 Padang","SUMATERA BARAT","Rumah Sakit",-0.919392,100.365219
"122",13,"1371251","RS Jiwa Puti Bungsu","Jl. H.Agus Salim No.36 Padang","SUMATERA BARAT","Rumah Sakit",-0.945628,100.369125
"123",13,"1371182","RS Bersalin Sari","Jl. Belakang Olo No.49,Padang","SUMATERA BARAT","Rumah Sakit",-0.945789,100.357292
"124",13,"1371123","RS Bhayangkara Padang","Jl. Jati No.I Padang","SUMATERA BARAT","Rumah Sakit",-0.929311,100.366837
"125",13,"1371091","RS Umum Islam Ibnu Sina","Jl. Gajah Mada Gunung Pangilun Padang","SUMATERA BARAT","Rumah Sakit",-0.920744,100.367378
"126",13,"1371032","RS Umum Yos Sudarso","Jl. Situjuh No. 1,Padang","SUMATERA BARAT","Rumah Sakit",-0.936247,100.362
"127",13,"1371021","RS Tk III Reksodiwiryo Padang","Jl. Dr Wahidin No.1,Padang","SUMATERA BARAT","Rumah Sakit",-0.950636,100.371788
"128",13,"1371010","RSUP Dr. M. Djamil","    Jl. Perintis Kemerdekaan Padang","SUMATERA BARAT","Rumah Sakit",-0.888378,100.362778
"129",13,"1312024","RS Umum Daerah Pasaman Barat","Jl.Jenderal Sudirman, Simpang Ampek, Pasaman Barat","SUMATERA BARAT","Rumah Sakit",0.045683,99.818161
"130",13,"1311013","RS Umum Daerah Sungai Dareh","Jl. Lintas Sumatera KM 2, Kec.Pulau Punjung Kab.Dharmasraya Tlp.0754-40347","SUMATERA BARAT","Rumah Sakit",-0.930275,101.45166
"131",13,"1309022","RS Umum Islam Ibnu Sina","Jl M Natsir pasaman baru ","SUMATERA BARAT","Rumah Sakit",0.070925,99.820267
"132",13,"1309011","RS Umum Daerah Lubuk Sikaping"," Jl. Jen Sudirman No.33,Lubuk Sikaping","SUMATERA BARAT","Rumah Sakit",-0.135597,100.168434
"133",13,"1308016","RS Umum Daerah Lubuk Basung","        Jl. M.Hatta Padang Baru,Lubuk Basung","SUMATERA BARAT","Rumah Sakit",-0.25455,100.172493
"134",13,"1306056","RS Umum Daerah Padang Pariaman","Jl.raya Padang bukittingi Km.42 Parit malintang","SUMATERA BARAT","Rumah Sakit",-0.626975,100.130653
"135",13,"1305014","RS Umum Daerah Prof Dr M.A Hanafiah","Jl. Bundo Kanduang no 1 Batusangkar","SUMATERA BARAT","Rumah Sakit",-0.459639,100.590599
"136",13,"1303023","RS Umum Daerah Arosuka,Solok","  Jl. Lintas Sumatera Aro Suka Solok, Kab.Solok","SUMATERA BARAT","Rumah Sakit",-0.803028,100.644402
"137",13,"1303012","RS Umum Daerah Muara Labuh"," Jl. Raya Km.1,Muara Labuh Padang Aro, Kabupaten Solok Selatan Propinsi Sumatera Barat","SUMATERA BARAT","Rumah Sakit",-1.302492,101.046593
"138",13,"1302011","RS Umum Daerah Dr. Muhammad Zein Painan","   Jln. A. Rivai No 1 Painan Kabupaten Pesisir Selatan","SUMATERA BARAT","Rumah Sakit",-5.297031,104.006233
"139",13,"1301010","RS Umum Daerah Kep. Mentawai"," Jl. Raya Tuapejat KM.9 - Sipora Utara","SUMATERA BARAT","Rumah Sakit",-2.061022,99.591049
"140",14,"1473078","RS Bhayangkara Dumai","Jl Hang Tuah No.1 Dumai","RIAU","Rumah Sakit",1.466544,102.250908
"141",14,"1473013","RS Umum Daerah Kota Dumai","Jl Tanjung Jati No.4, Dumai.","RIAU","Rumah Sakit",1.6745,101.45517
"142",14,"1471382","RS Umum Pekanbaru Medical Center","Jl Lembaga Pemasyarakatan No.25, Gobah Pekanbaru","RIAU","Rumah Sakit",0.514183,101.458504
"143",14,"1471371","RS Umum Lancang Kuning","Jl Ronggowarsito Ujung No.5A Gobah Pekanbaru","RIAU","Rumah Sakit",0.512961,101.464592
"144",14,"1471259","RS Ibu dan Anak Andini","Jl Tuanku Tambusai No.55 - Pekanbaru","RIAU","Rumah Sakit",0.505772,101.437149
"145",14,"1471226","RS Umum Awal Bros Pekanbaru","Jl Sudirman No.117 Pekanbaru","RIAU","Rumah Sakit",0.497103,101.455803
"146",14,"1471161","RS Umum Bina Kasih","Jl Samanhudi No.3-5,Pekanbaru","RIAU","Rumah Sakit",0.533333,101.449997
"147",14,"1471150","RS Prof. Dr. Tabrani","Jl Jend. Sudirman 410, Pekanbaru","RIAU","Rumah Sakit",0.504622,101.452332
"148",14,"1471146","RS Jiwa Tampan","Jl H.R. Subrantas Km.12,5 Pekanbaru","RIAU","Rumah Sakit",0.46485,101.382301
"149",14,"1471079","RS Umum Syafira","Jl Jenderal Sudirman No.134, Pekanbaru","RIAU","Rumah Sakit",0.504839,101.452042
"150",14,"1471067","RS Umum Eka Hospital Pekanbaru","Jl Soekarno- Hatta Km.6,5","RIAU","Rumah Sakit",0.482261,101.418945
"151",14,"1471055","RS Santa Maria Pekanbaru","Jl Ahmad Yani No. 68 Rt/Rw 001/001 Kel.Pulau Karam Kec. Sukajadi","RIAU","Rumah Sakit",0.52805,101.443153
"152",14,"1471033","RS Bhayangkara Pekan Baru Polda Riau","Jl Kartini No.14,Pekanbaru","RIAU","Rumah Sakit",0.515722,101.449615
"153",14,"1471022","RS Tk IV Pekanbaru","Jl Kesehatan No 2 Pekanbaru","RIAU","Rumah Sakit",0.533333,101.449997
"154",14,"1409022","RS Umum Daerah Dr. R.M. Pratomo Bagansiapiapi","Jl Pahlawan No.13, Bagansiapiapi","RIAU","Rumah Sakit",1.466544,102.250908
"155",14,"1408067","RS Umum PT Chevron Pasific Indonesia","Jl Komplek Merapi Duri Camp.PT Chevron Pacific Indonesia","RIAU","Rumah Sakit",0.516403,101.447098
"156",14,"1408055","RS Umum Mutia Sari","Jl Kebun Karet No 5 Kel. Air Jamban Duri - Riau","RIAU","Rumah Sakit",1.466544,102.250908
"157",14,"1408032","RS Umum Daerah Kec.Mandau","Jl Stadion No.10 Duri Bengkalis","RIAU","Rumah Sakit",1.259619,101.213097
"158",14,"1408011","RS Umum Daerah Bengkalis","Jl Kelapapati Tengah No.90, Bengkalis","RIAU","Rumah Sakit",1.466544,102.250908
"159",14,"1407020","RS Umum PTPN V Kbn Sri Rokan","Pos Ujung Batu Tandan Kampar","RIAU","Rumah Sakit",0.508294,101.441048
"160",14,"1407011","RS Umum Daerah Rokan Hulu","Jl Syekh Ismail, Pasir Pengaraian","RIAU","Rumah Sakit",0.874447,100.288467
"161",14,"1406031","RS Umum Tandun","Kebun Tandun Komplek PTPN V Desa Talang danto Kec. Tapung Hulu Kab. Kampar Riau","RIAU","Rumah Sakit",0.627431,100.606873
"162",14,"1406016","RS Umum Daerah Bangkinang","Jl Lingkar Bangkinang-Batu Belah, Kampar, Riau","RIAU","Rumah Sakit",0.346164,101.118904
"163",14,"1405015","RS Umum Daerah Siak","Jl Raja Kecik No.1 Kampung dalam,Siak Sri Indrapura","RIAU","Rumah Sakit",0.783256,102.069801
"164",14,"1404025","RS Umum Efarina Etaham","Jl Lintas Timur No.1, Pangkalan Kerinci - Riau","RIAU","Rumah Sakit",0.262411,101.661568
"165",14,"1404014","RS Umum Daerah Selasih Riau","Jl Rumah Sakit No.01 Pkl Kerinci","RIAU","Rumah Sakit",0.402944,101.845284
"166",14,"1403013","RS Umum Daerah Puri Husada Tembilahan","Jl Veteran No. 52 Tembilahan","RIAU","Rumah Sakit",-0.347106,103.169197
"167",14,"1402012","RS Umum Daerah Indrasari Rengat","Jl Lintas Timur Sumatera Rengat","RIAU","Rumah Sakit",-0.394033,102.441734
"168",14,"1401011","RS Umum Daerah Teluk Kuantan","Jl Kesehatan No. 1 Sinambek","RIAU","Rumah Sakit",-0.531417,101.564575
"169",15,"1571158","RS Umum Daerah H. Abdul Manap","Jl. SK.Rd.Syahbuddin Kel. Mayang Mangurai Kec.Kota Baru Jambi","JAMBI","Rumah Sakit",-1.650011,103.625473
"170",15,"1571136","RS Jiwa Daerah Provinsi Jambi","Jl. Dr. Purwadi Km.9,5 Jambi","JAMBI","Rumah Sakit",-1.618597,103.554153
"171",15,"1571067","RS Umum Mayang Medical Centre","Jl. Ir.H. Juanda No.56 Simp III Sipin, Jambi","JAMBI","Rumah Sakit",-1.630422,103.550972
"172",15,"1571045","RS Umum Santa Theresia","Jl. Dr. Sutomo No.19 Jambi","JAMBI","Rumah Sakit",-1.485183,102.438057
